word1,word2,size
china,four,40
china,call,44
china,strike,88
china,hurt,14
china,work,26
china,japan,14
china,bank,18
china,another,40
china,top,18
china,new,186
china,asean,12
china,men,58
china,three,22
china,life,10
china,air,32
china,aid,22
china,bid,40
china,dead,18
china,malaysia,4
china,two,84
china,down,36
china,way,32
china,war,64
china,razak,30
china,nt,38
china,dies,34
china,time,10
china,blast,8
china,die,34
china,says,68
china,goes,28
china,troops,6
china,visit,82
china,today,38
china,car,32
china,may,82
china,man,56
china,years,12
china,police,94
china,killed,22
china,year,18
china,girl,32
china,first,24
china,one,30
china,10,10
china,take,28
china,jakarta,38
china,shot,14
china,get,40
china,hits,22
china,pay,8
china,singapore,126
china,death,44
china,kills,22
china,world,18
china,chinese,12
china,talks,82
china,woman,34
china,help,18
china,trade,46
china,held,36
china,gets,32
china,found,34
china,king,20
china,plan,32
china,set,38
china,pm,10
china,fire,32
china,big,52
china,back,34
china,up,116
china,us,76
china,home,30
china,peace,16
china,go,46
china,lee,36
china,reds,34
china,tengku,60
china,next,10
china,hit,28
china,ties,64
china,chief,8
china,crash,40
china,day,14
china,red,44
china,ban,50
china,times,10
china,attack,40
china,move,12
china,latest,6
china,government,10
china,page,4
china,???,22
years,four,16
years,men,16
years,call,12
years,strike,26
years,hurt,2
years,work,12
years,bank,8
years,another,14
years,top,6
years,new,54
years,ban,12
years,three,8
years,life,10
years,air,10
years,aid,4
years,bid,14
years,dead,8
years,down,8
years,way,8
years,war,12
years,malaysia,2
years,nt,4
years,dies,12
years,time,12
years,blast,2
years,die,8
years,says,24
years,goes,8
years,visit,10
years,today,8
years,car,10
years,may,36
years,man,26
years,police,26
years,killed,8
years,year,6
years,girl,12
years,first,6
years,one,8
years,10,2
years,take,4
years,jakarta,10
years,shot,4
years,get,16
years,hits,2
years,pay,2
years,death,16
years,kills,8
years,world,6
years,chinese,4
years,talks,12
years,woman,10
years,two,30
years,help,2
years,trade,6
years,held,6
years,found,10
years,singapore,34
years,king,8
years,plan,4
years,set,10
years,pm,6
years,fire,8
years,big,12
years,back,8
years,up,36
years,us,4
years,home,16
years,peace,2
years,go,20
years,lee,8
years,reds,6
years,tengku,14
years,next,2
years,hit,2
years,razak,10
years,ties,2
years,chief,4
years,crash,10
years,day,6
years,red,12
years,times,4
years,attack,10
years,move,2
years,gets,10
years,latest,2
years,page,8
years,???,4
one,four,60
one,men,38
one,call,46
one,strike,60
one,hurt,72
one,work,36
one,japan,2
one,bank,18
one,another,56
one,top,12
one,new,156
one,ban,38
one,three,32
one,life,8
one,air,34
one,aid,20
one,dead,72
one,malaysia,2
one,down,30
one,way,38
one,war,42
one,razak,32
one,nt,32
one,dies,46
one,time,24
one,blast,12
one,die,30
one,says,36
one,goes,18
one,visit,30
one,today,22
one,car,32
one,may,96
one,man,48
one,police,98
one,year,28
one,girl,38
one,first,10
one,10,10
one,take,14
one,jakarta,40
one,shot,24
one,get,48
one,hits,8
one,pay,8
one,singapore,106
one,death,48
one,kills,16
one,world,18
one,chinese,12
one,talks,30
one,woman,38
one,two,98
one,help,4
one,trade,16
one,held,32
one,found,34
one,king,22
one,plan,12
one,set,16
one,pm,6
one,fire,44
one,cut,6
one,big,38
one,bid,30
one,back,34
one,up,104
one,us,4
one,peace,8
one,go,44
one,lee,6
one,reds,18
one,tengku,42
one,next,8
one,hit,12
one,ties,10
one,chief,12
one,crash,52
one,day,52
one,red,42
one,times,8
one,attack,32
one,move,6
one,gets,32
one,latest,8
one,killed,50
one,government,4
one,page,8
one,home,34
one,???,18
singapore,four,250
singapore,men,314
singapore,call,252
singapore,strike,492
singapore,hurt,50
singapore,work,172
singapore,japan,6
singapore,bank,114
singapore,another,242
singapore,top,46
singapore,new,1006
singapore,asean,8
singapore,three,88
singapore,life,52
singapore,air,200
singapore,aid,110
singapore,bid,214
singapore,malaysia,32
singapore,down,174
singapore,way,166
singapore,war,220
singapore,dead,110
singapore,nt,112
singapore,dies,238
singapore,time,54
singapore,blast,24
singapore,die,206
singapore,says,204
singapore,goes,134
singapore,troops,6
singapore,visit,206
singapore,today,166
singapore,car,180
singapore,razak,140
singapore,may,478
singapore,man,278
singapore,police,590
singapore,year,88
singapore,girl,210
singapore,first,60
singapore,10,40
singapore,take,82
singapore,jakarta,246
singapore,shot,94
singapore,get,256
singapore,hits,36
singapore,pay,36
singapore,death,248
singapore,kills,132
singapore,world,40
singapore,chinese,64
singapore,talks,200
singapore,woman,196
singapore,two,476
singapore,help,26
singapore,trade,134
singapore,held,150
singapore,gets,168
singapore,found,202
singapore,king,136
singapore,plan,108
singapore,set,152
singapore,pm,8
singapore,fire,194
singapore,cut,4
singapore,big,276
singapore,back,170
singapore,up,592
singapore,us,58
singapore,home,178
singapore,peace,28
singapore,go,204
singapore,index,2
singapore,lee,76
singapore,reds,144
singapore,tengku,308
singapore,next,44
singapore,hit,104
singapore,ties,50
singapore,chief,64
singapore,move,36
singapore,crash,212
singapore,day,106
singapore,red,226
singapore,ban,230
singapore,times,56
singapore,attack,174
singapore,latest,36
singapore,killed,110
singapore,government,18
singapore,page,6
singapore,???,74
world,four,32
world,men,38
world,call,32
world,strike,50
world,hurt,8
world,work,16
world,bank,70
world,another,28
world,top,12
world,asean,2
world,three,14
world,life,6
world,air,20
world,aid,18
world,bid,26
world,dead,14
world,malaysia,2
world,down,20
world,way,24
world,war,40
world,nt,20
world,dies,28
world,time,6
world,blast,2
world,die,24
world,goes,16
world,troops,2
world,visit,26
world,today,28
world,car,22
world,razak,20
world,may,56
world,man,40
world,police,70
world,year,12
world,girl,18
world,first,20
world,10,8
world,take,8
world,new,130
world,jakarta,24
world,shot,10
world,get,28
world,hits,6
world,pay,8
world,peace,16
world,death,34
world,kills,14
world,chinese,14
world,talks,34
world,woman,22
world,two,62
world,help,8
world,trade,36
world,held,26
world,gets,16
world,found,24
world,says,34
world,king,12
world,plan,18
world,set,18
world,pm,18
world,fire,22
world,big,30
world,back,18
world,up,66
world,us,14
world,go,28
world,lee,14
world,reds,20
world,tengku,38
world,next,8
world,hit,12
world,ties,6
world,chief,8
world,move,8
world,crash,24
world,day,10
world,red,32
world,ban,26
world,times,8
world,attack,22
world,latest,4
world,killed,14
world,government,2
world,page,8
world,home,22
world,column,2
world,???,10
next,go,8
next,chinese,2
next,woman,6
next,blast,2
next,four,6
next,die,4
next,says,16
next,talks,4
next,goes,4
next,new,24
next,lee,2
next,men,2
next,aid,4
next,reds,2
next,tengku,8
next,visit,6
next,two,16
next,call,6
next,strike,8
next,today,2
next,hurt,2
next,car,4
next,work,6
next,razak,4
next,may,14
next,man,6
next,chief,4
next,move,20
next,trade,6
next,held,6
next,police,14
next,found,4
next,year,324
next,girl,8
next,red,8
next,times,2
next,first,2
next,another,6
next,top,4
next,attack,6
next,king,6
next,asean,4
next,take,2
next,jakarta,10
next,shot,2
next,ties,2
next,hit,4
next,get,8
next,ban,8
next,killed,2
next,life,4
next,fire,8
next,air,8
next,crash,6
next,pay,2
next,gets,4
next,day,4
next,latest,2
next,death,6
next,kills,4
next,government,6
next,big,12
next,bid,6
next,page,4
next,back,8
next,home,4
next,three,4
next,down,8
next,way,4
next,war,14
next,???,6
next,up,24
next,pm,32
next,nt,8
next,10,4
next,dies,4
next,time,12
another,four,74
another,new,278
another,men,68
another,call,66
another,strike,110
another,hurt,14
another,work,52
another,japan,2
another,bank,30
another,top,18
another,three,34
another,life,14
another,air,58
another,aid,30
another,bid,64
another,down,56
another,way,46
another,war,72
another,dead,26
another,nt,30
another,dies,52
another,time,14
another,blast,12
another,die,54
another,says,50
another,goes,30
another,troops,2
another,visit,56
another,today,44
another,car,54
another,razak,50
another,may,138
another,man,78
another,police,162
another,killed,42
another,year,32
another,girl,54
another,first,16
another,10,14
another,take,24
another,jakarta,66
another,shot,26
another,get,62
another,hits,6
another,pay,14
another,death,78
another,kills,34
another,chinese,22
another,talks,50
another,woman,52
another,two,148
another,help,2
another,trade,26
another,held,52
another,found,62
another,king,32
another,plan,20
another,set,42
another,pm,2
another,fire,64
another,cut,4
another,big,66
another,back,54
another,up,150
another,us,14
another,peace,4
another,go,50
another,index,2
another,lee,14
another,reds,38
another,tengku,76
another,hit,20
another,ties,10
another,chief,20
another,move,10
another,crash,66
another,day,48
another,red,70
another,ban,68
another,times,18
another,attack,54
another,gets,44
another,latest,12
another,government,4
another,page,6
another,home,52
another,???,18
year,chinese,8
year,four,14
year,talks,8
year,woman,10
year,die,8
year,says,30
year,go,8
year,goes,4
year,new,52
year,lee,12
year,men,10
year,aid,4
year,reds,6
year,tengku,14
year,visit,8
year,two,24
year,call,10
year,strike,10
year,cut,2
year,today,6
year,hurt,2
year,car,8
year,work,8
year,razak,8
