"word"	"category"
"aad"	"remove"
"Abdul"	"personplace"
"absence"	"events "
"according"	"events "
"accosted"	"events "
"account"	"business"
"accounts"	"business"
"acknowledge"	"events "
"acknowledged"	"events "
"Acknowledgements"	"events "
"Act"	"government"
"act"	"events "
"Acting"	"government"
"add"	"events "
"address"	"business"
"Adelaide"	"personplace"
"Admiral"	"personplace"
"advices"	"business"
"afternoon"	"events "
"aged"	"events "
"Agriculture"	"events "
"aid"	"events "
"air"	"events "
"Air"	"events "
"aircraft"	"events "
"Airlie"	"government"
"album"	"events "
"Alex"	"personplace"
"Alexandra"	"personplace"
"Alfred"	"personplace"
"Allied"	"government"
"almost"	"remove"
"along"	"remove"
"Alor"	"personplace"
"alter"	"events "
"Alum"	"events "
"always"	"remove"
"Amazing"	"events "
"Amer"	"personplace"
"America"	"personplace"
"American"	"government"
"ami"	"remove"
"anchored"	"events "
"Andrew"	"personplace"
"Ann"	"personplace"
"annex"	"business"
"announce"	"events "
"annual"	"events "
"annum"	"business"
"another"	"remove"
"Anwar"	"personplace"
"Apl"	"remove"
"appear"	"events "
"appearance"	"events "
"appeared"	"events "
"appears"	"events "
"appointed"	"events "
"Aquino"	"personplace"
"arc"	"events "
"Arcadia"	"government"
"area"	"events "
"Army"	"government"
"Arrack"	"remove"
"arrested"	"events "
"arrival"	"events "
"arrivals"	"business"
"Arrivals"	"business"
"arrived"	"events "
"Arrives"	"business"
"arriving"	"events "
"art"	"events "
"Arthur"	"personplace"
"article"	"events "
"articles"	"events "
"Asean"	"government"
"Asia"	"personplace"
"Asian"	"personplace"
"Asiatic"	"events "
"aside"	"events "
"asks"	"events "
"Association"	"government"
"ate"	"events "
"atomic"	"events "
"atr"	"remove"
"attention"	"events "
"Australia"	"personplace"
"Australian"	"personplace"
"Austria"	"personplace"
"Automobile"	"business"
"automobile"	"business"
"Available"	"events "
"away"	"events "
"Ayer"	"personplace"
"Baak"	"personplace"
"back"	"events "
"bad"	"events "
"Badminton"	"events "
"badminton"	"events "
"bags"	"business"
"Bal"	"remove"
"bales"	"business"
"Bali"	"personplace"
"Ball"	"personplace"
"ban"	"events "
"Band"	"events "
"Bangkok"	"personplace"
"Banjar"	"business"
"Bank"	"business"
"bark"	"business"
"barque"	"business"
"Barrie"	"personplace"
"basis"	"events "
"Bass"	"business"
"bat"	"events "
"Batavia"	"personplace"
"Batu"	"personplace"
"beat"	"events "
"become"	"remove"
"Bees"	"personplace"
"behind"	"events "
"Behn"	"personplace"
"Beijing"	"personplace"
"bench"	"events "
"Berlin"	"personplace"
"Berthed"	"business"
"Besar"	"personplace"
"best"	"events "
"Bette"	"personplace"
"Bhd"	"business"
"bid"	"business"
"bids"	"events "
"big"	"events "
"Big"	"events "
"Bill"	"government"
"billiards"	"events "
"Billiards"	"events "
"billion"	"business"
"Bintang"	"personplace"
