"word","index","year","page","frequency","articleCount","stfreq","pagegroup","category","pagegrpnew","decade"
"bark","1845:2",1845,2,24,120,20,1,"Business and Commerce","front","1845"
"Singapore","1845:2",1845,2,23,120,19.1666666666667,1,"Persons and Places","front","1845"
"received","1845:2",1845,2,19,120,15.8333333333333,1,"Events and Society ","front","1845"
"Steamer","1845:2",1845,2,18,120,15,1,"Business and Commerce","front","1845"
"China","1845:2",1845,2,17,120,14.1666666666667,1,"Persons and Places","front","1845"
"Dutch","1845:2",1845,2,17,120,14.1666666666667,1,"Persons and Places","front","1845"
"Manila","1845:2",1845,2,16,120,13.3333333333333,1,"Persons and Places","front","1845"
"Ship","1845:2",1845,2,14,120,11.6666666666667,1,"Business and Commerce","front","1845"
"arrival","1845:2",1845,2,12,120,10,1,"Events and Society ","front","1845"
"arrived","1845:2",1845,2,12,120,10,1,"Events and Society ","front","1845"
"Bombay","1845:2",1845,2,11,120,9.16666666666667,1,"Persons and Places","front","1845"
"British","1845:2",1845,2,11,120,9.16666666666667,1,"Politics and Power","front","1845"
"Calcutta","1845:2",1845,2,11,120,9.16666666666667,1,"Persons and Places","front","1845"
"Malacca","1845:2",1845,2,10,120,8.33333333333333,1,"Persons and Places","front","1845"
"China","1845:3",1845,3,17,107,15.8878504672897,2,"Persons and Places","front","1845"
"British","1845:3",1845,3,16,107,14.9532710280374,2,"Politics and Power","front","1845"
"Intelligence","1845:3",1845,3,14,107,13.0841121495327,2,"Business and Commerce","front","1845"
"brig","1845:3",1845,3,13,107,12.1495327102804,2,"Business and Commerce","front","1845"
"received","1845:3",1845,3,13,107,12.1495327102804,2,"Events and Society ","front","1845"
"Brit","1845:3",1845,3,11,107,10.2803738317757,2,"Politics and Power","front","1845"
"European","1845:3",1845,3,11,107,10.2803738317757,2,"Politics and Power","front","1845"
"bark","1845:3",1845,3,11,107,10.2803738317757,2,"Business and Commerce","front","1845"
"schooner","1845:3",1845,3,10,107,9.34579439252336,2,"Business and Commerce","front","1845"
"Sir","1845:3",1845,3,9,107,8.41121495327103,2,"Persons and Places","front","1845"
"Dutch","1845:3",1845,3,8,107,7.47663551401869,2,"Persons and Places","front","1845"
"Manila","1845:3",1845,3,8,107,7.47663551401869,2,"Persons and Places","front","1845"
"Rhio","1845:3",1845,3,8,107,7.47663551401869,2,"Persons and Places","front","1845"
"Singapore","1845:3",1845,3,8,107,7.47663551401869,2,"Persons and Places","front","1845"
"Ship","1845:3",1845,3,8,107,7.47663551401869,2,"Business and Commerce","front","1845"
"Court","1845:3",1845,3,7,107,6.54205607476635,2,"Politics and Power","front","1845"
"General","1845:3",1845,3,7,107,6.54205607476635,2,"Persons and Places","front","1845"
"Hongkong","1845:3",1845,3,7,107,6.54205607476635,2,"Persons and Places","front","1845"
"time","1845:3",1845,3,7,107,6.54205607476635,2,"Events and Society ","front","1845"
"understand","1845:3",1845,3,7,107,6.54205607476635,2,"Events and Society ","front","1845"
"Calcutta","1845:3",1845,3,6,107,5.60747663551402,2,"Persons and Places","front","1845"
"left","1845:3",1845,3,6,107,5.60747663551402,2,"Events and Society ","front","1845"
