"index","year","word","page","frequency","articleCount","stfreq","pagegroup"
"1845:2",1845,"bark",2,24,120,20,1
"1845:2",1845,"Singapore",2,23,120,19.1666666666667,1
"1845:2",1845,"received",2,19,120,15.8333333333333,1
"1845:2",1845,"Steamer",2,18,120,15,1
"1845:2",1845,"Dutch",2,17,120,14.1666666666667,1
"1845:2",1845,"China",2,17,120,14.1666666666667,1
"1845:2",1845,"Manila",2,16,120,13.3333333333333,1
"1845:2",1845,"ship",2,14,120,11.6666666666667,1
"1845:2",1845,"arrival",2,12,120,10,1
"1845:2",1845,"arrived",2,12,120,10,1
"1845:2",1845,"Calcutta",2,11,120,9.16666666666667,1
"1845:2",1845,"Bombay",2,11,120,9.16666666666667,1
"1845:2",1845,"British",2,11,120,9.16666666666667,1
"1845:2",1845,"Malacca",2,10,120,8.33333333333333,1
"1845:3",1845,"China",3,17,107,15.8878504672897,2
"1845:3",1845,"British",3,16,107,14.9532710280374,2
"1845:3",1845,"Intelligence",3,14,107,13.0841121495327,2
"1845:3",1845,"received",3,13,107,12.1495327102804,2
"1845:3",1845,"brig",3,13,107,12.1495327102804,2
"1845:3",1845,"European",3,11,107,10.2803738317757,2
"1845:3",1845,"bark",3,11,107,10.2803738317757,2
"1845:3",1845,"Brit",3,11,107,10.2803738317757,2
"1845:3",1845,"Ist",3,10,107,9.34579439252336,2
"1845:3",1845,"schooner",3,10,107,9.34579439252336,2
"1845:3",1845,"Sir",3,9,107,8.41121495327103,2
"1845:3",1845,"ship",3,8,107,7.47663551401869,2
"1845:3",1845,"Dutch",3,8,107,7.47663551401869,2
"1845:3",1845,"Rhio",3,8,107,7.47663551401869,2
"1845:3",1845,"Manila",3,8,107,7.47663551401869,2
"1845:3",1845,"Singapore",3,8,107,7.47663551401869,2
"1845:3",1845,"time",3,7,107,6.54205607476635,2
"1845:3",1845,"Court",3,7,107,6.54205607476635,2
"1845:3",1845,"understand",3,7,107,6.54205607476635,2
"1845:3",1845,"Hongkong",3,7,107,6.54205607476635,2
"1845:3",1845,"General",3,7,107,6.54205607476635,2
"1845:3",1845,"much",3,6,107,5.60747663551402,2
"1845:3",1845,"left",3,6,107,5.60747663551402,2
"1845:3",1845,"Calcutta",3,6,107,5.60747663551402,2
"1845:3",1845,"sent",3,6,107,5.60747663551402,2
"1846:2",1846,"Singapore",2,138,331,41.6918429003021,1
"1846:2",1846,"Steamer",2,70,331,21.1480362537764,1
"1846:2",1846,"China",2,56,331,16.9184290030211,1
"1846:2",1846,"arrived",2,53,331,16.012084592145,1
"1846:2",1846,"Calcutta",2,46,331,13.8972809667674,1
"1846:2",1846,"bark",2,38,331,11.4803625377643,1
"1846:2",1846,"Captain",2,37,331,11.178247734139,1
