Date	Page	Abstract
19160101	909090	909090
19160102	909090	909090
19160103	Page 3	Alien Shareholders. RECENT TYRE AND RUBBER CO. LITIGATION. Enemy Rights in Courts. On the motion for the adjournment of the House of Commons, on November 24, Mr. Peto (I Devizes) called attention to the decision of the Court of Appeal in the case of the Continental Tyre and Rubber Company...
19160103	Page 3	SHANGHAI KLEBANG RUBBER. Reconstruction of Company Agreed Upon. An extraordinary general meeting of the Shanghai KUbnuj, Kubber Estates. Ltd was held on December 14, at Shanghai, Mr. lingo lUrigs, piefeidiog. There were also present Messrs. V. Meyer and S. J. Btnjamin, directors, and Mr. C. J. L. Stewart, secretary. The...
19160103	Page 7	DAILY TIME TABLE. FIXTURiS. Monday, January J High Water, 7 48 a,m., »JB M-» Tuesday, January 47 High Water H.W a.m 19.6) .m M. M. outward mail expectty) Chamber of Commerce dini^br to Colonial Secretary. Dungun Ltd., 181, Cecil St.jnoon. Wednesday, January 5. I High Water, 9.88 a.m., 11.81 c.m...
19160103	Page 7	"SINGAPORE MAILS CLOSE. To-I&gt;*T. Billitou, SouraUiya lanaradjs B. r\rfi taaa ».H0 aa 1 i n ham and T. Anson ""ermk pa Selat Pan Ijang, Bengkalis and Bagan Meran :'.""V jm Malacca and Muar Kata I pni Christmas and Cocos Islands lslund«r 4 pm Kota Tinggi Mejraati 4 pm To-mobkow. Puuloe..."
19160103	Page 7	"Train Services. Hi- mail tram* from Siagapjre lor tUo ooriLi leavt Tank Road station daily :;.t 1.1 a.v and 7 p.m., arriviii, it Kuala Lumpur at T 1 p.m. and 6.45 a.m. espectively. TL"" express to Penang leaves .vi*la it h a ia. daily, a'riving at I' tnang in. the..."
19160103	Page 7	Mail Steamer Movements. The It. I. contract packet Fa/ilka left Madras on Wednesday afternoon, and may be expected to arrive at Penang to day. The M. M. outward steamer Cordillere left Colombo on Thursday, December an, and may be expected to arrive here at 7 a.m. to morrow. The I....
19160103	Page 7	Mails for Europe. B.I. Nov. 10 M X. Nov. M P. O. Dec. 3 I!. I. IH«. 4 X. X. Itoc. t l&gt;. O. Doc. 16 K. 1. XX. Dec. 23 1&gt;. U. i; I. Doa is Luni»&gt;n i Uooember 16 :&gt;1 Arhivku. l&gt;ec. 16 Hoc 31 i
19160103	Page 7	SINGAPORE SHARE REPORT. Messrs. Fraser and Co.'s Weekly Circular. In their hhare circular, dated December 40, Messrs. Fraiier and 'o. state The business of the past week has been moderately gorxl considering the interval caused by Mm UMatsaas. holidays. The market had h considerable shock over the substantial BjiwajM in...
19160103	Page 7	LIST OF PASSENGERS. Outward. Tin. following passenger bookings to the Straits are taken from the London and China Express. It should be understood that, in some instances, bookings may be provisional and that intending passengers may alter their arrangements, subsequent to the issuance of this list in London Per P....
19160103	Page 7	SOLDIERS WIVES. Arousing Correspondence Received In London. The following arc aatbeotioaaat copies of letters iictm.l ,v Übsaeaj by the Secretary of thr Soldiers aU'i &gt;*iluiV Association i.i v S:,.— l have received no fee since; my busbaud has none from nowhere. Dear Sir.— Mrs. Stnttb hab been pat to bed...
19160103	Page 7	FINANCE AND COMMERCE EXCHANGE. Sinoapom, lanlaey 9, 1916. On London Bank 4 uj/h 2/41} Demand a/4j Private 8 m/a 8/4J On India Bank T. T. 174; On UoNOKoMo...B»nk d/d 17J On Shanghai ...Buk d/d 91) OmJata Bank T. T. 1811 On Japan Bank 109: Sovereigns— baying rate 18.54 India Counoil...
