Date	Headline
19720101	Into a  new era:  Lee
19720101	Karate champ
19720101	Eight-day  strike  by 900  newsmen,  printers  ends
19720101	Reed remanded
19720101	We'll take our time, Britain to Malta
19720101	$2.4m bank  fraud:  Police  probe on
19720101	Police find  two cars  used in  Gold Bar  Murders
19720102	$10 m bonus  claim
19720102	Mr. 1972 is a five-pounder
19720102	Asia Magazine
19720102	British troops prepare to pull out of Malta
19720102	STORM HINDERS PROBE
19720102	"""Egypt  warns  us  on jets  ""IT  Israel"
19720102	The weather
19720103	Gold bars seized
19720103	Fire destroys 25 stalls at Gay World Park
19720103	Maurice  Chevalier  dies  at 83
19720103	Plane turned into cafe
19720103	UNCONDITIONAL RELEASE,  SAYS TIME MAGAZINE  Bhutto to  free  Mujib in 'a couple of days'
19720104	$15,000  opium  haul in  ambush
19720104	Heart attack
19720104	24 hurt in a Belfast  street bomb blast
19720104	Gold Bar Murders: Four charged
19720105	Polio: S'pore  helps
19720105	Premier  defends  'no trial'  detention  system
19720105	Fraser's writ over 2 m STC shares
19720105	Four hurt as window  falls  40  feet
19720105	Bomb  in  bank hoax
19720106	It's going to HURT!
19720106	Yeoh to review SAFTI parade
19720106	Malaysia backs money idea by Cambodia
19720106	164 dead now
19720106	Granny's body found in sea off Changi
19720107	Sales tax  shock for Malaysia
19720107	Also hit the 4-D and 3-D Punters
19720107	RAAF Mirages for Spore
19720107	63 HURT  AS COPS,  STUDENTS  CLASH
19720107	$157,000  fraud:  Six  years  jail  for clerk
19720107	Woman burnt to death
19720107	WANTED MAN  HELD
19720108	15 students  detained  after  Suharto  warning
19720108	200 DIE IN ARMS DUMP BLASTS
19720108	Mystery  phone  call  silences Bangla official
19720108	Wanted  man  shot dead after  hold-up
19720108	PRESIDENT RETURNS
19720109	Mujib freed
19720109	Doctors advise Sheares to take  long rest
19720109	Strike at  races by 350 syces
19720109	Shane breaks world mark
19720109	Metric shock: Airmail rates up as much as lOOpc
19720109	We will shoot,  police  warn  thugs
19720110	Air crash kills 14
19720110	Mujib off to Dacca in RAF Comet
19720110	190 killed  or  hurt in  grenade attack on youth rally
19720110	Times  Group  spends  $20m  on new  plants
19720110	Self-sufficient
19720110	SEAWISE STILL BURNING
19720111	China ships for S'pore
19720111	Flexible  policy  in long-hair clamps
19720112	Inroads  by  Chinese  ships  no  worry  for FEFC
19720112	SEIZED-A  RECORD  $212M1L  HEROIN HAUL
19720112	MSA to  add  five new stops in Asia and -Europe
19720112	Two naval ships collide in Singapore Straits
19720112	Mintoff studies  note as time  runs short
19720112	3 a.m. ROUNDUP  STRANDED 33 OFF TO LONDON
19720113	Sugar  crisis  worsens
19720113	Oil spill ship's agent furnishes $500,000 bond
19720113	Third TV channel planned  for  teaching adults
19720113	New ties
19720113	Tricked' into drinking
19720114	Ousted PM led anti-Nkrumah coalition
19720114	Sugar  export  clamp in  S'pore
19720114	More polio cases?
19720114	REDS CLAIM FALL OF LONG CHENG
19720114	Expats:  No  change  policy
19720114	Bank rate cut
19720114	3 a.m. ROUNDUP  ANOTHER BIG PULLOUT
19720115	10-plus growth  rate  in  1971
19720115	Banned from Singapore
19720115	School  mass  murder  horror
19720115	Chaplin to go back to US
19720115	Clean Air Act
19720115	N. Vietnam moves missile sites
19720115	Bangla  envoy  wants  our  recognition
19720115	SADAT TO DROP FAWZI AS P.M.?
19720115	Strike  by  stable boys ends
19720116	Sugar ration for dealers
19720116	Why we  declared  war on  long-hairs by Raja
