Date	Headline
20010101	Singapore's growth last year a strong 10.1 per cent
20010101	Javanese urchin saved by rich uncle
20010101	Filipino woman's fight for principles
20010101	Japan's star scientist points to its people's potential to shine
20010102	Religious leaders must guide followers, says PM
20010102	Uncovered: China's largest tax scam, at $20b
20010102	SACA GYMNASTS MAY BE BARRED FROM SEA GAMES
20010102	The saga about Saga
20010102	FIRST-DAY  jitters
20010102	Hollywood hook-ups and bust-ups
20010103	2m CPF top-ups on the way
20010103	Summons defaulters face arrest  in Johor
20010104	Boy dies; child disease may be cause
20010104	Fewer visitors from Taiwan after SQ crash
20010105	US rate cut sends  Asian bourses soaring
20010105	Paradise lost as axeman strikes
20010105	Dyed hair? No school  for you
20010105	Jakarta  reverses  decision over tax on Batam
20010105	300  seized
20010105	Batam's  roaring illegal Singapore car trade
20010105	Vijay's hopes grind to a halt
20010105	DYEING FOR FUN
20010105	Fattened-up Walrus scores biggest win
20010106	More  doctors  quit  public  sector
20010106	Key areas of focus
20010106	Secretary 21
20010108	Thaksin moves swiftly to form coalition govt
20010108	Are women more health-sawy?
20010108	The Straits Times  money
20010108	STRAITS TIMES INDEX
20010108	Orange in talks to buy into M1
20010109	SM warns of trouble if  US spending takes a drop
20010109	Trade with Malaysia is tops
20010109	BURNT  OUT
20010109	Outlook good for the new season, says Mah
20010110	S'pore tops in globalisation
20010110	S'pore Open back with new scoring system
20010112	'Let fourth varsity cater to adults of all ages'
20010112	A PILGRIMAGE
20010112	Work done keeps proposed FTA on course
20010112	The Queue is back
20010112	Sore Thai gamblers to blame for poll violence
20010112	Rd 1 knockout for Jina, Li
20010112	'SOORY, no English, Portuguese only
20010113	Recycling to  meet 15% of water needs bv 2010
20010113	Firm 'no' to raiding reserves
20010113	TOMMORROW'S SUPREMART?
20010113	My green heaven
20010114	Need cash? Check out the  supermarket
20010114	X-ray machines will be used to curb human smugglers
20010114	SAF mobilisation
20010115	Asia 'can manage US economic fallout'
20010115	Visit HDB showflats-virtually
20010115	Japan's new British-style Cabinet
20010116	S'pore, Japan begin free-trade talks
20010116	Dear PM...
20010116	Ex-generals linked to Xmas bombings
20010116	THIS OLD MAN, HE BAGS ONE
20010117	8MILLION The magic number  for arrivals this year
20010117	M1 fined over 10-seeond voice message
20010117	Lawyers  charged  with  copying  data
20010117	He doesn't pay, supply is cut, he taps illegally
20010117	Deal to protect spenders
20010117	There's more  to democracy than free press
20010117	A NATIONAL TREASURE RESTORED
20010118	Estrada's prosecutors quit trial
20010118	Bak kwa  copycat
20010119	Judges order Thaksin  udges order Thaksin  to be tried tor graft
20010119	Model worker dies  after quayside scuffle
20010119	HANDTO-MOUTH IN TAIWAN
20010119	Charities pitch in as number  of jobless rise
20010122	Malays have moved up, says PM
20010129	Oh no, they're all eating in public
20010130	OCBC  scraps fee, after public outcry
20010130	He lost 5 relatives in India quake
20010130	Where to send donations for victims
20010130	$178,000 course
20010130	Cannot make money with such a high bid
20010130	SGA wants course to popularise game
20010131	S'pore sends $87,000 in quake aid
20010201	Megawati and military support me, says Gus Dur
20010201	Tax breaks for  retirement  savings scheme
20010201	BAD  SON
20010201	Leaving on a jet plane
20010202	GRAND OLD DAME MUST GO?
20010202	Singaporean Emmy-winner back in town
20010202	TAIWAN  RAT-TLED
20010202	The Grand Old Dame has to go
20010202	Lu records Tour's 3rd albatross
20010202	Coach thinks his side  can earn  draw with the Lions
20010202	Outsider confident it can emerge tops in the qualifiers
20010203	Big Taiwan team for Apec meetings in Beijing
20010203	Gus Dur: I won't resign
20010203	AHEAD IN THE TAXI RANKS
20010203	FOLLOW  THAT CABBY...
20010203	THAILAND: More fish and fowl on the menu
20010203	S. KOREA: Meat strikes fear  in consumers
20010203	Fire will not douse Kallang fiesta
20010203	To be or not to be, a loyal Singapore fan
20010203	100,000  extra reasons for the Lions to win games
20010203	RANKINGS
20010203	MATCHES
20010203	Rain, rain go away for them to play...
20010203	CARE  SMILE LAUGH!
20010204	High Streetseat of govt again?
20010205	'No doubt' US will stay committed to region
20010205	Officers hurt in  police station
20010206	Cheaper legal bill  for property deals
20010207	Looking at  new ways to  be friends
20010208	Gus Dur's position safe — for now
20010208	Cracks appear in Indonesian Cabinet
20010209	Gus Dur off to East Java to ease tension
20010209	3-death crash: Appeal  filed
20010209	Lions need patience
20010209	Bahrain's benign stance  belies its belligerence
20010210	passport-free travel to  Malaysia likely
20010210	S'pore rich-poor divide widens
20010211	Addicted:  Born a slave to heroin
20010211	Double tragedy for S'pore couple in JB
20010211	Blood donors turn up for ailing Barker
20010212	State polls shock for Howard govt
20010212	CHEERS  FROM  HANSON
20010212	No way to rush  Gus Dur out of office: Amien
20010212	Bright lights, big-city living for young?
20010212	Another Japan firm apologises for gaffe
20010212	AJINOMQTO SCANDAL: Pork enzyme used to make taste-enhancer marked with halal label
20010212	How not  to sell food in Asia
20010212	Are Lions fighting  fit to face Man ?
20010212	Dutchmen stem the reign of Spain
20010212	Dumped S'pore must stay down
20010212	S-League clubs eye pre-World Cup talent
20010213	S'pore seals second gas deal with Indonesia
20010213	Gourmet  food for  fast troops
20010214	No victim but killer  litter jail term  stands: CJ
20010214	PM congratulates  new Thai leader
20010214	Racist politics stays strong in Australia
20010214	Seven errant Lions fined
20010214	Poulsen will not recall Latiff for Kuwait
20010215	Boeing clinches $7b SIA order
20010215	Fadzu to join starting line-up
20010215	READY TO GO
20010216	SM: I take long-term view of ties with Jakarta
20010216	Asiad triumph 'vital even without carrot'
20010218	THIER STORY MAKES  FORA GOOD SERIAL
20010219	Cut  back
20010219	Govt to allow overseas voting
20010219	FIRST WIVES CLUB
20010219	TIMESPORT'S  COVERAGE
20010220	Eliminate cronyism, corruption says panel
20010220	Searching for wills will soon be a breeze
20010220	If I leave, it'll be because I'm pragmatic, and S'porean
20010220	CRASH KILLS U.S. MOTOR RACING STAR
20010220	New $2.5m Income for S-League
20010221	Good government the key to progress
20010221	WHO'S NEXT AFTER MORI?
20010221	PLEASING ALL HIS WIVES
20010221	Can they find a middle way  in Indonesia?
20010221	Winning's not the point tonight
20010221	GRANNY'S GRAND GIFT
20010221	THE STORY OF AIDE AND EZREEN
20010221	NO I dinn't  insure my BUTT
20010222	Tailor your own degree programme at NUS
20010222	3 S'poreans caught for dings  in China; one executed
20010222	For lowest prices, head to SPC
20010222	SONG AND DANCE  OVER BOLLYWOOD
20010222	Lions show spirit
20010223	New stat board to promote health
20010223	Trio stole  from man  with lure of  sex for cash
20010223	Dayaks, Madurese clash, many beheaded
20010224	Dream home  in the heartlands
20010224	Want to use it? Spend HKs1,ooo first
20010224	RELAX ,it's time to chid out
20010225	No sex  please, we're British
20010226	gets real
20010226	Moo is over the moon
20010228	Cops fail to stop massacre by Dayaks
20010228	0-LEVEL RESULTS TODAY
20010228	Easier now to stage some events
20010228	Why Malaysia must beat  the pirates
20010228	Lions miss chance to score their first victory
20010228	Asia Cup  may be held  in HDB  heartland
20010228	Ouzo unlikely to defend title
20010228	Life
20010228	Computer times
20010228	troubles
20010301	Security forces crack down on Dayaks
20010301	9 months for man who had sex with 'Net' girl
20010302	More S'pore children seeing psychiatrists
20010302	Gambling charge: Refund for 7
20010302	A-level results out tomorrow
20010303	Jakarta forces keen to deal with unrest
20010303	Dollars & sense  YOU KNOW WHAT YOU SPENT LAST SUMMER...
20010304	Role of Malays in SAF has evolved
20010304	Integrate or separate: Malays' pick
20010304	SUNDAY  CLASSIFIED
20010306	MPs go to bat for  Republic's small man
20010306	UOB Asia fined $400,000 over IPO fiasco
20010309	Govt cuts 3G auction reserve  price by $50m
20010309	Tanks, we're really full
20010309	Gus Dur visits scene  of bloody clashes
20010309	He may be good for reel but is he for real?
20010309	TEACHERS,  don't LEAVE THE KIDS ALONE
20010310	Controls on foreign broadcasters soon
20010310	Govt acts to ease  shortage of lawyers
20010310	GAME OVER  FOR OLYMPIC DUO
20010310	Singapore's hopes end in round two
20010310	Off to work TO LEAD
20010311	Medical funds' claim limits to rise
20010311	Early party polls signal Mori's intent to quit
20010311	High-tech 'stars' at new naval base
20010311	Malay leaders 'want more integration'
