wordCol,yearCol,headlineCol
strike,1955,6-hour strike talks fail
strike,1955,Power men threaten to strike
strike,1955,"Waiters,  bar boys  in hotel  strike"
strike,1955,Guests move  out: Hotel  strike in  second day
strike,1955,Strike  hotel decides to close
strike,1955,Dockers may still strike
strike,1955,"No advance, so they'll strike"
strike,1955,Strike  ENDS IN K.I.  Strike
strike,1955,6 MINUTES TO  GO: STRIKE IS CALLED OFF
strike,1955,OUR CANBERRAS CAN STRIKE AT THE ENEMY WITHIN AN HOUR
strike,1955,Judges to strike
strike,1955,HOTEL STRIKE IS SETTLED -SACKED MEN RETURN
strike,1955,Strike threat
strike,1955,"60,000 strike"
strike,1955,Strike notice to council today
strike,1955,150 busmen strike as wage talks fail
strike,1955,Dock strike  menace
strike,1955,82 held  in  strike
strike,1955,Strike  notice  to Navy  today
strike,1955,WATER MEN  PUT OFF  STRIKE
strike,1955,Sympathy strike
strike,1955,Harbour  men  threaten strike
strike,1955,Lim moves to avert strike
strike,1955,"One-day  strike by  1,300  at docks"
strike,1955,ALKS: SO STRIKE is OFF
strike,1955,Petrol strike is now settled
strike,1955,City men  to strike   but  not now
strike,1955,COLONY BUS WORKERS SAY  YES TO STRIKE
strike,1955,STRIKE THREAT  AT  STABLES
strike,1955,RACES ON  DESPITE  STRIKE
strike,1955,Hess on strike
strike,1955,The bus  strike may end  today
strike,1955,Liner foils tug strike
strike,1955,RUBBER SHOE MAKERS GO ON STRIKE
strike,1955,"40,000 ordered  to strike at midnight meeting"
strike,1955,HOCK LEE STRIKE ENDED: MOST BUSES BACK TODAY
strike,1955,TUC peace  bid in  port strike
strike,1955,"10,000  in new strike threat"
strike,1955,"10,000  vote  to strike"
strike,1955,HARBOUR STRIKE MAY END TODAY
strike,1955,HB STRIKE: NICOLLACTS
strike,1955,STRIKE GOES ON: TROOPS MAY STEP IN
strike,1955,"Dock  strike  threat  by 20,000"
strike,1955,"2,500 oppose port strike call"
strike,1955,"1,250 in  new  Colony strike"
strike,1955,"40,000 threaten new strike"
strike,1955,Opium addicts end hunger strike
strike,1955,MARSHALL to LIM: NAME SYMPATHY STRIKE UNIONS
strike,1955,"SYMPATHY' STRIKE BY 60,000 CALLED OFF"
strike,1955,"16,000 ON STRIKE"
strike,1955,70 companies hit by the strike   official list
strike,1955,Negotiations  on SHB  strike end in deadlock
strike,1955,Strike clash
strike,1955,"Strike threat  by  10,000"
strike,1955,Strike leaders arrested
strike,1955,MINISTER'S BID TO AVERT BIG STRIKE
strike,1955,COUNCIL MEN DEFER STRIKE THREAT
strike,1955,66-day harbour  strike is over
strike,1955,STRIKE IS OVERHAND THE MEN CHEER THE NEWS
strike,1955,Races:  New strike threat
strike,1955,Strike off on with races
strike,1955,Sawmill strike is over
strike,1955,Strike pay rejected   unions walk out
strike,1955,CITY COUNCIL  MEN: 'ON WITH STRIKE'
strike,1955,New strike  starts in  Singapore
strike,1955,"Ban lifted,  then Reds  strike again"
strike,1955,The ??90 m. strike
strike,1955,Prison and customs men  may strike over sackings
strike,1955,NEW STRIKE WAVE PERIL
strike,1955,Strike threat
strike,1955,400 sawmill men strike
strike,1955,10000 TO  STRIKE  THIS WEEK
strike,1955,BIG STRIKE PUT OFF FOR 14 DAYS
strike,1955,Oil strike in Brunei
strike,1955,STRIKE NOTICE AT NAVAL BASE
strike,1955,RAIL STRIKE THREAT
strike,1955,Admiralty  gets strike  notice
strike,1955,NEW STRIKE THREAT by RACING BOYS
strike,1955,"38 SACKED, SO RUBBER MEN WILL STRIKE"
strike,1955,New peace bid in racing strike
strike,1955,Ail VAL BASE STRIKE IS OFF
strike,1955,"1,400 go on strike, refuse to sit their exams"
strike,1955,STABLE STRIKE IS OFF
strike,1955,Union builds up a 'strike fund'
strike,1955,CITY COUNCIL  WORKERS  TO STRIKE
strike,1955,Bid to avert city strike
strike,1955,MORE MEN ON STRIKE NOW
strike,1955,Hooded men clean the streets  THEY HELP BEAT STRIKE
strike,1955,STOP-the-STRIKE MOVE BY REA
strike,1955,Singapore hotels face a strike
strike,1955,Strike: Talks to resume
strike,1955,450 ON STRIKE  AT FOUR  HOTELS
strike,1955,The Cold Storage:  Strike goes on
strike,1955,"Firemen may strike, too"
strike,1955,Council  strike:  Still an  impasse
strike,1955,Strike settled
strike,1955,BID No. 3 TO END CITY STRIKE FAILS
strike,1955,CITY COUNCIL STRIKE ENDS
strike,1955,Strike ballot
strike,1955,Strike at Raffles Hotel ends
strike,1955,Bus strike in a fortnight
strike,1955,A general hotel strike is threatened
strike,1955,Cockpit strike is over
strike,1955,Bata men to strike
strike,1955,STRIKE TOMORROW?  Visit to cemetery may lead to unofficial S.T.C. stoppage
strike,1955,JOHORE REDS STRIKE AGAIN
strike,1955,BIG BUS STRIKE BEGINS
strike,1955,Port clerks to take strike ballot
strike,1955,MIDDLE ROAD  ORDERS  10-min STRIKE
strike,1955,SMELTER STRIKE IS CALLED OFF
strike,1955,STC strike Sir Thomas flies out
strike,1955,Hotel strike inquiry
strike,1955,"Strike call goes out to  the 80,000"
strike,1955,END-STRIKE TALKS FAIL
strike,1955,Dockers to strike
strike,1955,Bank  men to  vote on  strike
strike,1955,I'll go on hunger  strike -clerk
strike,1955,Bus strike 'no good to  anybody'
strike,1955,Laundrymen to go on strike
strike,1955,Strike  threat  at Naval  Base
strike,1955,Changi  bus  strike is over
strike,1955,ADELPHI  STRIKE  (64 DAYS)  IS OVER
strike,1955,NOW ONLY HALF A STRIKE
strike,1955,Oil men end strike
strike,1955,ITS ALL STRIKE  TALK BY THE  PHONE MEN
strike,1955,ON STRIKE UNLESS...
strike,1955,Strike is off
strike,1955,Phone  men to  strike  again
strike,1955,Deepavali transport strike imminent
strike,1955,BUS STRIKE:  FONG HIDES  HIS HAND
strike,1955,Taxi union  pleads:  Don't strike
strike,1955,Zulu ricksha men strike
strike,1955,Peace hope in  strike
strike,1955,END-the-STRIKE DRAMA
strike,1955,SNAP STRIKE IN KLANG
strike,1955,BUS STRIKE DEADLOCK
strike,1955,NEW BID TO END STRIKE
strike,1955,Strike stops Norway
strike,1955,Strike'  on a  warship
strike,1955,102-day strike is over
strike,1955,HOPE TO END  BUS STRIKE  FADES
strike,1955,Strike threat by stable boys
strike,1955,S.T.C. strike: Vital talks today
strike,1955,SUSPENDED NAVAL BASE MEN: ON WITH STRIKE
strike,1955,Clerks: Reply  or we  strike
up,1955,SUEZ CANAL CRASH PILES UP SHIPS
up,1955,Goodyear tyre prices up too
up,1955,BOY MISSING WITH 529  TURNS  UP IN MUAR
up,1955,"UP, UP, UP  the New Year"
up,1955,-But UP go these rates
up,1955,UP goes that rubber rate -now it's $20
up,1955,GIVE UP'
up,1955,THE 'CRISIS' SENDS RUBBER  AND TIN ON THE UP AND UP
up,1955,UP cost of  sleeping in the train
up,1955,Hunt for that Ampang killer given up
up,1955,UP GO both  rubber and tin...
up,1955,Terrorist gives up  to his wife
up,1955,SHE GAVE  UP HER  GUNS FOR ORPHANS
up,1955,SUICIDE AFTER A PAY UP' NOTE
up,1955,CALL-UP LAW FOR THE 18's TO 40's IN RED CHINA
up,1955,A RED BOSS GIVES UP
up,1955,SPORE POLLS FLARE-UP
up,1955,Rubber up again
up,1955,Ham held -up
up,1955,Winston up again
up,1955,THEY WILL  STAND UP  TO AN  A-BOMB
up,1955,Reds set up student net at a picnic
up,1955,A Red boss gives up
up,1955,TEN BANDITS GIVE UP
up,1955,PIN-UP GIRL
up,1955,Executions up
up,1955,DIVERS BRING UP THREE BODIES
up,1955,Red boss gives up
up,1955,Laycock gives up  politics for good
up,1955,UNIONS' ROW HOLDS UP BUS 'PEACE'
up,1955,8 more bandits give up
up,1955,ACHIN REBELS  SET UP CELL  IN SINGAPORE'
up,1955,HOW TO GET A RED TO GIVE UP
up,1955,Four more Reds give up
up,1955,2 more give up
up,1955,UP GOES PRICE OF OPIUM AFTER BIG HAUL
up,1955,"UP rubber, UP tin, UP shares"
up,1955,"FEAR  sends rubber and tin  UP, UP, UP"
up,1955,falkover so {lliance is one up
up,1955,4 'TRAITORS'  BEATEN UP  AT CAMP
up,1955,SINE BANDITS GIVE UP
up,1955,Rubber up to  $1.23 a pound
up,1955,Squatters beat  up man
up,1955,Rubber up again
up,1955,THE TENGKU'S  RIVAL GIVES UP
up,1955,Hundred up
up,1955,UP AGAIN
up,1955,GANG OF BURGLARS IS ROUNDED UP
up,1955,SCRAP THE RENDEL SET-UP    EXPERT
up,1955,Results up to 3 a.m.
up,1955,-And China  trade  hopes go up
up,1955,Union builds up a 'strike fund'
up,1955,"4,000 turn up but there's no rally"
up,1955,Village  nabs  hold-up  raider
up,1955,Singapore call-up  boy shot at camp
up,1955,French call-up
up,1955,"$2,500 goes up in smoke"
up,1955,WATCHMAN BEATEN UP: MURDER BID
up,1955,3 Pahang bandits give up
up,1955,The 'Atomic  bandit'  gives up
up,1955,Rubber up again
