wordCol,yearCol,countCol
strike,1955,144
reds,1955,97
up,1955,95
red,1955,89
new,1955,82
marshall,1955,79
men,1955,75
man,1955,75
out,1955,75
off,1955,69
talks,1955,68
says,1955,67
again,1955,66
big,1955,66
all,1955,64
police,1955,59
mr.,1955,57
killed,1955,56
girl,1955,54
i,1955,53
will,1955,50
rubber,1955,49
death,1955,48
back,1955,48
today,1955,47
more,1955,47
fire,1955,43
malaya,1955,43
hurt,1955,41
singapore,1955,40
day,1955,40
home,1955,40
plan,1955,39
bandit,1955,39
days,1955,38
dies,1955,38
found,1955,38
go,1955,38
crash,1955,38
u.s.,1955,37
boy,1955,37
three,1955,36
war,1955,36
die,1955,35
colony,1955,34
bandits,1955,33
"$5,000.00",1955,33
sir,1955,33
may,1955,32
bus,1955,32
held,1955,31
crisis,1955,30
tengku,1955,30
kill,1955,29
gets,1955,29
alliance,1955,28
visit,1955,26
too,1955,25
call,1955,24
murder,1955,24
air,1955,24
say,1955,24
peace,1955,24
woman,1955,24
away,1955,23
way,1955,23
amnesty,1955,23
shot,1955,23
share,1955,23
threat,1955,23
china,1955,22
end,1955,22
london,1955,22
union,1955,22
left,1955,22
goes,1955,22
only,1955,22
spore,1955,22
kills,1955,22
students,1955,22
bid,1955,22
win,1955,22
"$20,000.00",1955,22
wins,1955,21
free,1955,21
we,1955,21
rahman,1955,21
car,1955,21
city,1955,21
get,1955,21
britain,1955,21
plane,1955,21
flies,1955,21
tan,1955,21
see,1955,21
give,1955,20
johore,1955,20
m,1955,20
ill,1955,20
battle,1955,20
mil.,1955,20
chin,1955,20
pay,1955,20
mystery,1955,20
gang,1955,20
boss,1955,19
aid,1955,19
row,1955,19
buses,1955,19
peng,1955,19
beat,1955,19
village,1955,19
stabbed,1955,18
dead,1955,18
troops,1955,18
council,1955,18
one,1955,18
gives,1955,18
strikers,1955,18
wife,1955,18
lost,1955,18
meet,1955,18
want,1955,17
govt.,1955,17
ban,1955,17
raid,1955,17
fight,1955,17
help,1955,17
missing,1955,17
last,1955,17
army,1955,16
work,1955,16
secret,1955,16
meeting,1955,16
baby,1955,16
