topword,year,freq
strike,1955,144
up,1955,95
Reds,1955,186
Marshall,1955,79
police,1955,59
killed,1955,56
rubber,1955,49
death,1955,48
fire,1955,43
Malaya,1955,43
hurt,1955,41
Singapore,1955,62
bandit,1955,72
crash,1955,38
U.S.,1955,47
war,1955,36
die,1955,73
colony,1955,34
bus,1955,32
crisis,1955,30
Tengku,1955,30
kill,1955,51
Alliance,1955,28
visit,1955,26
murder,1955,24
air,1955,24
say,1955,24
peace,1955,24
amnesty,1955,23
shot,1955,23
share,1955,23
threat,1955,23
China,1955,22
end,1955,34
London,1955,22
union,1955,32
left,1955,22
students,1955,22
bid,1955,22
win,1955,43
free,1955,21
rahman,1955,21
car,1955,21
city,1955,21
Britain,1955,21
plane,1955,21
flies,1955,21
tan,1955,21
see,1955,21
give,1955,38
johore,1955,20
ill,1955,20
battle,1955,20
mil.,1955,20
chin,1955,20
pay,1955,20
mystery,1955,20
gang,1955,20
boss,1955,19
aid,1955,19
row,1955,19
buses,1955,19
peng,1955,19
beat,1955,19
village,1955,19
stabbed,1955,18
dead,1955,18
troops,1955,18
council,1955,18
strikers,1955,18
wife,1955,18
lost,1955,18
Govt.,1955,17
ban,1955,17
raid,1955,17
fight,1955,17
missing,1955,17
last,1955,17
army,1955,16
work,1955,16
secret,1955,16
meeting,1955,16
baby,1955,16
chief,1955,16
move,1955,16
Queen,1955,15
ship,1955,15
eden,1955,15
talk,1955,83
case,1955,15
opium,1955,15
trade,1955,15
good,1955,15
ambush,1955,15
attack,1955,15
years,1955,15
party,1955,15
keep,1955,14
jungle,1955,14
arrested,1955,14
busmen,1955,14
yes,1955,14
royal,1955,14
hunt,1955,14
dato,1955,14
jail,1955,14
minister,1955,26
road,1955,14
dont,1955,14
five,1955,14
India,1955,13
top,1955,13
life,1955,13
down,1955,13
offer,1955,13
father,1955,13
quiet,1955,13
hit,1955,13
workers,1955,13
terrorists,1955,13
Lee,1955,13
stay,1955,13
school,1955,21
son,1955,12
happy,1955,12
time,1955,12
riot,1955,12
No.,1955,12
riddle,1955,12
slain,1955,12
tour,1955,12
trip,1955,12
film,1955,12
gurkhas,1955,12
nehru,1955,12
guards,1955,12
miss,1955,12
labour,1955,12
sea,1955,12
entry,1955,12
Malayan,1955,12
boyd,1955,12
boys,1955,12
probe,1955,12
tax,1955,12
clash,1955,12
leaves,1955,11
hospital,1955,11
mother,1955,11
flood,1955,20
tin,1955,11
welcome,1955,11
terror,1955,11
million,1955,11
Chinese,1955,11
hours,1955,11
house,1955,11
hotel,1955,11
youth,1955,11
Lim,1955,11
australia,1955,11
shock,1955,11
front,1955,11
quit,1955,11
well,1955,11
protest,1955,10
tell,1955,20
better,1955,10
hong,1955,10
blast,1955,10
run,1955,10
date,1955,10
kong,1955,10
russia,1955,10
falls,1955,10
polls,1955,10
warning,1955,10
PAP,1955,10
boat,1955,10
general,1955,10
defence,1955,10
soldier,1955,10
mission,1955,10
story,1955,10
Sultan,1955,10
cut,1955,10
seized,1955,10
hope,1955,10
freedom,1955,10
boom,1955,10
drive,1955,9
girls,1955,9
camp,1955,9
people,1955,9
election,1955,9
surprise,1955,9
gun,1955,22
lorry,1955,9
british,1955,9
note,1955,9
price,1955,9
show,1955,9
self-rule,1955,9
week,1955,9
charged,1955,9
action,1955,9
