Date	Headline
19990101	The spot of daily cheer
19990102	ERP on  more  roads this year
19990102	DRIVE
19990102	Lofty ideas
19990103	Curtain calls at your fingertips
19990103	DIY corsages
19990103	HELP  lines
19990104	Euro may boost Asian currencies
19990104	Amazing  Amazon
19990105	Euro gets off to a good start
19990105	'Lock-out' at the Palace
19990106	Police injured  Anwar,  says A-G
19990106	The 8th Principle  for Highly  Effective  People?
19990107	Year-long trial for  electronic  post office
19990107	All set for 'impeach' trial
19990107	Regional stocks all up
19990108	KL's top cop quits
19990108	Have a long weekend with BT
19990109	Abdullah is DPM, Finance to Daim
19990109	STI soars into 1999
19990109	Lush Life
19990109	TEAM SPIRIT
19990110	Reasoning  tests for  university  applicants
19990110	New team will be my legacy,  says PM
19990111	Mahathir  plans tour to gauge polls date
19990113	Zoom in  on core  sports to excel, says PM
19990113	Clinton denies  charges formally
19990115	Street gangs rob motorists
19990115	FOOD
19990115	Affordable favourites
19990115	Spicy Indian treats in a buffet spread
19990116	Brazil lets real go on free float
19990117	Real float  cheers  world markets
19990118	Taiwanese will  get free hand, says China official
19990119	Air-con gets my vote, says SM Lee
19990120	Final  verdict.  Death  it is for  Filipino  rapist
19990120	We 'badly misgauged' Asian crisis, says IMF
19990120	Removing all barriers
19990121	Changes to teaching  of Chinese
19990122	Crash  splits  lorry
19990123	Riot-hit Ambon  put under  curfew
19990123	KL says bridge needs S'pore nod
19990123	Who is who in the consortium
19990123	Be heard, not just seen
19990124	Big rise in SilAir crash pay-out
19990124	CHRONOLOGY
19990125	1998 CPI fall first in 13 years
19990125	CEC: SWEE SAY ONLY NEW FACE
19990126	China vows to  keep yuan stable
19990126	Several teachers told  to repay merit bonuses
19990126	The Golden Girls
19990127	Pro-Suharto forces 'hinder reform bid'
19990127	Advisers endorse MAS moves
19990127	SPINNING  THEIR OWN
19990127	You've been retrenched
19990128	Panel to probe Anwar injuries
19990128	Fly high and free
19990129	Region's  tourist arrivals to  fall by 11m
19990129	Reformative training for 'terror of Yishun'
19990129	Decision on Anwar's defence tomorrow
19990130	SingTel, M1 slug it out  in pnce war
19990130	SM Lee calls on Mahathir in Davos
19990130	Woman jailed for role in Bulgarian's murder
19990130	Are you  Indispensable?
19990131	My new face
19990131	Judge to Anwar: Answer  charges
19990131	TAS slams  Friday's  shoot-out
19990131	'Beware the  bigot within'
19990131	Potty over Pooh
19990201	Cohesiveness at stake, warns SM
19990201	More spendthrifts going bankrupt
