"wordCol","yearCol","countCol"
"stock",1955,1
"pardon",1955,1
"divers",1955,1
"easts",1955,1
"destroyed",1955,2
"hitch",1955,2
"nicollacts",1955,1
"protest",1955,10
"sleep",1955,2
"asian",1955,2
"supremos",1955,1
"hanging",1955,3
"commandos",1955,1
"firms",1955,1
"captain",1955,3
"saved",1955,5
"towns",1955,1
"forget",1955,1
"votes",1955,3
"schoolboys",1955,1
"founder",1955,1
"paris",1955,3
"speeded",1955,1
"cyclonic",1955,1
"james",1955,2
"presents",1955,1
"neighbours",1955,1
"voted",1955,2
"dukes",1955,2
"sorry",1955,1
"whack",1955,1
"fists",1955,1
"lure",1955,2
"saves",1955,2
"pelandok",1955,1
"rescue",1955,6
"nikita",1955,1
"rise",1955,6
"buzz",1955,1
"inche",1955,1
"strangman",1955,1
"wagons",1955,1
"stabbed",1955,18
"special",1955,3
"pilgrim",1955,1
"tickets",1955,1
"adenauer",1955,1
"school",1955,12
"nned",1955,1
"prize",1955,6
"companies",1955,1
"commons",1955,4
"correct",1955,1
"ismail",1955,1
"delegate",1955,1
"alarm",1955,1
"triumph",1955,4
"forged",1955,2
"enjoy",1955,1
"chew",1955,2
"force",1955,3
"ches",1955,1
"tired",1955,1
"warns",1955,8
"direct",1955,1
"raffles",1955,3
"preacher",1955,1
"bannister",1955,1
"second",1955,3
"street",1955,2
"querns",1955,1
"valiant",1955,4
"hula",1955,1
"kidnap",1955,3
"planters",1955,1
"shining",1955,1
"blue",1955,5
"battleground",1955,1
"wreck",1955,2
"cyprus",1955,1
"boyer",1955,1
"beaten",1955,6
"airmen",1955,2
"asia",1955,8
"lights",1955,3
"coasters",1955,1
"supplies",1955,1
"spidery",1955,1
"seeks",1955,3
"told",1955,5
"crunch",1955,1
"hero",1955,4
"avert",1955,3
"chins",1955,1
"dreadful",1955,1
"join",1955,3
"men",1955,75
"fronts",1955,2
"atoms",1955,3
"bangkok",1955,4
"reported",1955,1
"china",1955,22
"teachers",1955,2
"dry",1955,2
"generals",1955,2
"daughter",1955,4
"forum",1955,1
"luggage",1955,1
"leaves",1955,11
"changed",1955,4
"envoy",1955,4
"sinkings",1955,1
"beck",1955,1
"bayonetted",1955,1
"ueber",1955,1
"smoke",1955,3
"natures",1955,1
"couple",1955,4
"settled",1955,3
