headline_year,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
abandoned,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,0,1
abducted,0,1,2,0,0,2,1,0,0,2,0,0,0,1,0,1,0,0,2,1,4,2,2,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
abdullah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,2,2,0,3,2,15,0
ablaze,1,0,2,1,0,1,0,0,0,0,0,0,2,2,2,3,0,1,1,2,4,2,1,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
able,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
aboard,0,3,1,3,1,0,2,1,0,0,0,4,1,2,1,1,0,0,0,0,0,1,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abroad,1,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,2,2,0,3,2,1,0,4,1,1,2,2,5,9,3,2,3,0,0,0,2,2,1,0,0,0,1,2,2,3
abuse,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,1,0,2,4,0,1,1,0,1,1,1,2,0,1,0,0,1,3,4,0,0,0,2,0,3,1,2,1,0,1,3
accept,2,1,0,2,2,0,0,1,4,5,3,0,3,2,3,0,1,1,1,1,0,1,1,2,2,0,5,4,0,0,0,4,0,2,3,0,1,0,1,2,0,1,0,0,1,1,2,1,2,0,0,1,0,1,0
accepted,0,1,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
accepts,1,1,4,0,2,2,2,2,0,5,2,0,2,2,2,1,1,0,1,2,4,0,0,0,0,0,1,1,1,1,0,2,1,3,4,3,1,1,0,1,3,2,2,0,1,0,0,0,0,0,0,1,0,0,0
